Casualty,Year,LONGITUDE,LATITUDE
1,2016,145.1629189,-37.99403992
1,2016,143.8566732,-37.55954947
1,2016,144.8851203,-37.73445329
1,2016,145.0232044,-37.83360756
1,2016,145.1041302,-37.81556323
1,2016,144.3253869,-38.3322886
1,2016,145.0210122,-37.69749849
1,2016,144.4613842,-38.19466108
1,2016,144.54057,-36.64643377
1,2016,145.492305,-37.92718274
1,2016,145.2036473,-37.97528151
1,2016,144.9605267,-37.68980153
1,2016,145.5028504,-38.06568348
1,2016,145.0701236,-37.67543446
1,2016,144.8440232,-36.086313
1,2016,146.138933,-37.287129
1,2016,144.8333835,-37.77763713
1,2016,145.885488,-38.1857948
1,2016,144.9844992,-37.86640056
1,2016,144.5638682,-37.66680377
1,2016,144.6780266,-37.92977957
1,2016,148.0035014,-37.87696306
1,2016,145.1359246,-38.3675589
1,2016,145.0319193,-37.99325944
1,2016,144.9221195,-38.35148202
1,2016,145.1471417,-37.85936868
1,2016,145.4144144,-37.88347928
1,2016,144.9523589,-37.81510823
1,2016,145.2078749,-37.99116295
1,2016,143.9718723,-38.51670396
1,2016,148.7102827,-37.70411512
1,2016,145.0206123,-37.89434127
1,2016,142.0709298,-34.2452859
1,2016,145.2364414,-37.97272407
1,2016,143.8436224,-37.58017471
1,2016,145.1126448,-38.04553979
1,2016,146.53715,-36.16632
1,2016,144.2996749,-37.56007815
1,2016,145.0783118,-37.15939837
1,2016,145.0294542,-37.99080531
1,2016,144.9668666,-37.78277816
1,2016,144.9870954,-37.68807009
1,2016,146.4724532,-36.11074656
1,2016,144.9494284,-37.8030394
1,2016,145.2750622,-37.99832375
1,2016,145.3280462,-38.02909385
1,2016,141.2914853,-38.0590681
1,2016,144.3586886,-38.06661131
1,2016,146.39395,-37.07648526
1,2016,145.2209462,-37.95657213
1,2016,145.5646377,-37.90638224
1,2016,144.9587797,-37.6946695
1,2016,147.068829,-38.094028
1,2016,144.9623832,-37.81004622
1,2016,144.3512346,-38.13342833
1,2016,145.222787,-36.47333762
1,2016,146.9054077,-36.12681327
1,2016,149.0328929,-37.56924844
1,2016,145.3087746,-38.02178788
1,2016,144.8846177,-37.78037044
1,2016,143.3030886,-36.6406434
1,2016,144.9827769,-37.79346272
1,2016,147.0126601,-37.75744135
1,2016,146.2672125,-38.18236631
1,2016,144.9480565,-37.83766426
1,2016,145.2050717,-38.02600053
1,2016,145.0363178,-38.24056045
1,2016,145.0455558,-37.83024091
1,2016,146.4411526,-38.14922955
1,2016,145.6684121,-37.05192502
1,2016,143.974659,-38.53509226
1,2016,144.9947138,-37.6485288
1,2016,144.9301898,-37.57690159
1,2016,142.7488832,-34.7261758
1,2016,145.3595639,-37.89652488
1,2016,144.9759896,-37.76689064
1,2016,145.139962,-37.96697391
1,2016,146.4657156,-37.86108203
1,2016,145.1711839,-37.97949234
1,2016,145.4924612,-38.08203065
1,2016,145.2380651,-38.45262734
1,2016,144.7016923,-37.74093046
1,2016,144.4855816,-37.42363026
1,2016,145.3712321,-37.79708053
1,2016,144.3478544,-38.09031743
1,2016,145.0300618,-37.65870452
1,2016,144.66918,-37.84818109
1,2016,145.2542178,-38.46366412
1,2016,145.2575786,-37.826598
1,2016,144.8615679,-37.81330554
1,2016,145.946765,-38.475975
1,2016,144.9860691,-37.80660255
1,2016,147.0896852,-38.07001093
1,2016,145.569025,-37.64636178
1,2016,145.2383405,-38.02038028
1,2016,145.417426,-37.77438384
1,2016,145.5433255,-37.16632119
1,2016,144.8759064,-37.7857036
1,2016,144.9249567,-37.62057528
1,2016,145.0577025,-37.6969892
1,2016,145.1655043,-37.91225405
1,2016,145.0534671,-38.2233707
1,2016,144.9147904,-37.80150548
1,2016,145.2503168,-38.4561952
1,2016,143.22878,-37.16900566
1,2016,143.775839,-37.10391082
1,2016,144.2482858,-36.76415656
1,2016,144.7240908,-37.57733526
1,2016,144.987208,-37.41728724
1,2016,145.2787204,-37.97741491
1,2016,144.1438291,-38.34424273
1,2016,144.9598542,-37.80833041
1,2016,144.9939422,-37.84778055
1,2016,146.262026,-36.4112392
1,2016,145.045286,-38.2480409
1,2016,144.4431159,-37.7531638
1,2016,144.5805481,-37.42989344
1,2016,143.8126775,-37.56823528
1,2016,145.2983753,-38.01232696
1,2016,145.5468494,-37.97144809
1,2016,142.1084792,-34.177553
1,2016,145.0999511,-38.20898181
1,2016,146.2846939,-38.18715883
1,2016,145.7774754,-38.08683056
1,2016,144.9195635,-37.77210064
1,2016,145.9349524,-38.03572846
1,2016,146.5290731,-38.19379098
1,2016,144.7963704,-37.74391181
