location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,house_type,latitude,longitude,coordinates,buy_price,type,price tag
"601 Little Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139628567,"1407/601 Little Lonsdale Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/b5e7a9f4a116ae5707a9e4b5f7e67df200cc5708f375fba406591d021ac587f7/image.jpg,Apartment,-37.81389365,144.9537209,"(144.9537209, -37.81389365)",669500,buy,"$650,000 - $689,000"
"333 Exhibition Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140490083,"610/333 Exhibition Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/71c666f5ba8eb5c44a13273a5c669e9552d584acfedec4b7c78d9b5d76fa9f95/image.jpg,Apartment,-37.8080085,144.96842,"(144.96842, -37.8080085)",350000,buy,350000 
"370 Queen Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140621191,"7104/370 Queen Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/7651ff59c6686422584cbcdca02560773a45cbbef29c45089f063504ffb1f6dc/image.jpg,Apartment,-37.8119956,144.9594357,"(144.9594357, -37.8119956)",1585850,buy,1585850 
"138 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139886459,"4311/138 Spencer Street, Melbourne, Vic 3000",2,2,0,1,https://i2.au.reastatic.net/{size}/7a0a019c59b7737e74e31b7467acb1e47bd812894cc50e7efe53e60ae28a2c33/image.jpg,Apartment,-37.8131357,144.95151,"(144.95151, -37.8131357)",775000,buy,"$750,000-$800,000"
"442-450 Elizabeth Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139360819,"1405/442-450 Elizabeth Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/fc3e3db62a4a2e59cc9a067eebc1fdfe2f93fb7b6e5747d4f89040c248675f2b/image.jpg,Apartment,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",360000,buy,360000 
"38 Rose Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140241507,"1203/38 Rose Lane, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/0d21ba41cbe19179c888aa3af75d06fe42a82bec2f2df5ebc51f972558e3362f/image.jpg,Apartment,-37.8148091,144.9539615,"(144.9539615, -37.8148091)",325000,buy,"$310,000-$340,000"
"8 Downie Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140369991,"2806/8 Downie Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/7a55bee62240331d184b6eb820796b6fd868e4ccdd692086660f312d5c180e57/image.jpg,Apartment,-37.8199018,144.955577,"(144.955577, -37.8199018)",356500,buy,"$345,000 - $368,000"
"135 A'Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140485847,"2316/135 A'Beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/4ffdc2ef2e35a1684eebaffd3a06bc6d8da0388ce3841a0174542295abab55b7/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",509000,buy,"$499,000 - $519,000"
"199 William Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139490671,"819/199 William Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/1c70ca1ca2e5db41a0597e2bd3ab8862dae8488bb3658c8a43439e7b7b0379fe/image.jpg,Apartment,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",440000,buy,"$420,000 - $460,000"
"228 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140616607,"4402/228 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ff1124fc68b43d7beb7ae8a28443e7b25d4f8606799f90e967eef30dc06dde80/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",460000,buy,"$450,000 - $470,000"
