location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,pprice,type,house_type
"142 Darebin Road, Northcote, Vic 3070",https://www.realestate.com.au/property-townhouse-vic-northcote-139976691,"2/142 Darebin Road, Northcote, Vic 3070",3,1,1,0,https://i2.au.reastatic.net/{size}/762ac6b90735cd64c62d179f4e9512bba6cd137350d2331f0edfe48c1af86be3/image.jpg,-37.7637434,145.0042653,"(145.0042653, -37.7637434)",970000,buy,Townhouse
"10 Albert Place, Richmond, Vic 3121",https://www.realestate.com.au/property-townhouse-vic-richmond-140242339,"10 Albert Place, Richmond, Vic 3121",3,2,2,0,https://i2.au.reastatic.net/{size}/a4be6f8e34a6d3c2d690b40ede4dfe33148aabbb726ea9be7fa560162f57ac14/image.jpg,-37.82463,145.0133937,"(145.0133937, -37.82463)",1625000,buy,Townhouse
"6 Acacia Place, Abbotsford, Vic 3067",https://www.realestate.com.au/property-apartment-vic-abbotsford-137562050,"618/6 Acacia Place, Abbotsford, Vic 3067",1,1,0,0,https://i2.au.reastatic.net/{size}/4d9f6e159463db64b1c4328abd9491ec027e1d19818c22cdc2234e8d91373c4a/image.jpg,-37.8116124,145.0138185,"(145.0138185, -37.8116124)",355000,buy,Apartment
"40 Nicholson Street, Fitzroy North, Vic 3068",https://www.realestate.com.au/property-townhouse-vic-fitzroy+north-140485015,"5/40 Nicholson Street, Fitzroy North, Vic 3068",3,2,1,0,https://i2.au.reastatic.net/{size}/dbdc65b870a63b247f2e1a440a7f17526472dcac59b016f11cb4bc90d11e92c6/image.jpg,-37.7794596,144.9783238,"(144.9783238, -37.7794596)",945000,buy,Townhouse
"505 St.kilda Road, Melbourne, Vic 3004",https://www.realestate.com.au/property-apartment-vic-melbourne-139622747,"502/505 St.kilda Road, Melbourne, Vic 3004",3,3,2,1,https://i2.au.reastatic.net/{size}/bc787b5f708d59a4de9be46ced070107e170e7518d0280d2e1747e8324be94c4/image.jpg,-37.8438281,144.9788063,"(144.9788063, -37.8438281)",2195000,buy,Apartment
"159 Keele Street, Collingwood, Vic 3066",https://www.realestate.com.au/property-house-vic-collingwood-140484883,"159 Keele Street, Collingwood, Vic 3066",2,1,1,0,https://i2.au.reastatic.net/{size}/dd5ef2c1e39c1589c74a18b5e18cd5daea1f57adb6903210bb69b0b6a1ea46ef/image.jpg,-37.7971064,144.9869251,"(144.9869251, -37.7971064)",1225000,buy,House
"8 Daly Street, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-137717818,"1821/8 Daly Street, South Yarra, Vic 3141",2,2,1,0,https://i2.au.reastatic.net/{size}/e9cedfdad4f05e9113986845d36cc331a49d92b726b07fb6612108c292e5cfea/image.jpg,-37.838029,144.9951004,"(144.9951004, -37.838029)",650000,buy,Apartment
"83 Flemington Road, North Melbourne, Vic 3051",https://www.realestate.com.au/property-apartment-vic-north+melbourne-140241963,"307/83 Flemington Road, North Melbourne, Vic 3051",2,1,0,0,https://i2.au.reastatic.net/{size}/e0f8c23260b0ced83b5de5bbd3dd2ccc48db5b33b421118c28b311169d48a446/image.jpg,-37.7986509,144.953441,"(144.953441, -37.7986509)",415000,buy,Apartment
"21 The Righi, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-140484491,"8/21 The Righi, South Yarra, Vic 3141",2,1,1,0,https://i2.au.reastatic.net/{size}/6b488e4d241bd2ba07ddd189abdf528a38774c27337b9fe8da96ae0213a20b80/image.jpg,-37.8330136,144.9871719,"(144.9871719, -37.8330136)",600000,buy,Apartment
"7 Albert Street, East Melbourne, Vic 3002",https://www.realestate.com.au/property-house-vic-east+melbourne-140617687,"7 Albert Street, East Melbourne, Vic 3002",4,1,1,0,https://i2.au.reastatic.net/{size}/4c333fbecadd790b8147d3b356cd8ff580e1168ee688c28ade2ad775f644d9bf/image.jpg,-37.8103521,144.9837049,"(144.9837049, -37.8103521)",1550000,buy,House
"11 Flockhart Street, Abbotsford, Vic 3067",https://www.realestate.com.au/property-apartment-vic-abbotsford-140617667,"302/11 Flockhart Street, Abbotsford, Vic 3067",2,2,1,0,https://i2.au.reastatic.net/{size}/248cdb2eaabadab9c6b0c4be010d661ef07047b4803f90a03820a61361c0c6de/image.jpg,-37.809259,145.0074045,"(145.0074045, -37.809259)",580000,buy,Apartment
"140 Swan Street, Richmond, Vic 3121",https://www.realestate.com.au/property-apartment-vic-richmond-140367831,"804/140 Swan Street, Richmond, Vic 3121",1,1,1,0,https://i2.au.reastatic.net/{size}/46587971c9bcf16f9a2c0003f326a7cbdf55f1c04ef90d55933cdd469ae7b8cc/image.jpg,-37.8255377,144.9949324,"(144.9949324, -37.8255377)",514500,buy,Apartment
"71 Keele Street, Collingwood, Vic 3066",https://www.realestate.com.au/property-house-vic-collingwood-140617503,"71 Keele Street, Collingwood, Vic 3066",2,1,0,0,https://i2.au.reastatic.net/{size}/bffc1b8ad9883046904b1bb8633fdb0b702a2fa1f9d8e295f0c11e5140016e81/image.jpg,-37.7971064,144.9869251,"(144.9869251, -37.7971064)",1050000,buy,House
"677 La Trobe Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-140367771,"815/677 La Trobe Street, Docklands, Vic 3008",1,1,0,0,https://i2.au.reastatic.net/{size}/8c47c49fea57a905c8cee7d67fd7bc5404c1072105bf220745b41975f07292cf/image.jpg,-37.8149632,144.9449635,"(144.9449635, -37.8149632)",350000,buy,Apartment
"231 St Georges Road, Northcote, Vic 3070",https://www.realestate.com.au/property-apartment-vic-northcote-139203095,"231 St Georges Road, Northcote, Vic 3070",2,1,1,0,https://i2.au.reastatic.net/{size}/21be36e7bf4d2e1d5d6cc65a08d091503eed707a2862c821463adffafd1dc915/image.jpg,-37.7759408,144.9900579,"(144.9900579, -37.7759408)",679000,buy,Apartment
"539 St Kilda Road, Melbourne, Vic 3004",https://www.realestate.com.au/property-apartment-vic-melbourne-140617339,"709/539 St Kilda Road, Melbourne, Vic 3004",2,3,2,0,https://i2.au.reastatic.net/{size}/ee38e3bbc872cad904b904be853c6ca34bd63308c786aef3f8db305321952e85/image.jpg,-37.84564705,144.9803033,"(144.98030333034356, -37.84564705)",1450000,buy,Apartment
"94 Brighton Street, Richmond, Vic 3121",https://www.realestate.com.au/property-house-vic-richmond-140367139,"94 Brighton Street, Richmond, Vic 3121",3,2,2,0,https://i2.au.reastatic.net/{size}/7e9c8fb815a353357ccabfa4fcf913acde68bca65f8453405d0d4cb69fd7f3d4/image.jpg,-37.8261742,144.9994546,"(144.9994546, -37.8261742)",2195000,buy,House
"8 McCrae Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-140617051,"606/8 McCrae Street, Docklands, Vic 3008",2,2,1,0,https://i2.au.reastatic.net/{size}/58a7ea70c3c7e1f83c860abccbf7e20371404e2f97e002b81f1f4a6abbbf1ab4/image.jpg,-37.8215492,144.9507994,"(144.95079937477038, -37.8215492)",620000,buy,Apartment
"90 Lorimer Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-140367111,"2804/90 Lorimer Street, Docklands, Vic 3008",3,2,2,1,https://i2.au.reastatic.net/{size}/d75e88bcb88adcfd0eee9bcb53f672eabdcdc3ca2cb0e5badbc7b28b2543d7f3/image.jpg,-37.8233664,144.9387177,"(144.9387177, -37.8233664)",2025000,buy,Apartment
"60 Islington Street, Collingwood, Vic 3066",https://www.realestate.com.au/property-apartment-vic-collingwood-140616903,"805/60 Islington Street, Collingwood, Vic 3066",3,2,2,1,https://i2.au.reastatic.net/{size}/68c7b1e535ac6de2138fa4fcca29c160c258b4d651b70f806c308613d95c3f48/image.jpg,-37.804895,144.9912344,"(144.9912344, -37.804895)",1537500,buy,Apartment
"201 Abbotsford Street, North Melbourne, Vic 3051",https://www.realestate.com.au/property-townhouse-vic-north+melbourne-140616531,"13/201 Abbotsford Street, North Melbourne, Vic 3051",2,1,1,0,https://i2.au.reastatic.net/{size}/2b7c3a9392ff07b7006f0a8f315904279889179ee820cdc183c752a7ab42416b/image.jpg,-37.7975039,144.9463788,"(144.9463788, -37.7975039)",805000,buy,Townhouse
"8 Bowen Crescent Street, Melbourne, Vic 3004",https://www.realestate.com.au/property-apartment-vic-melbourne-140616515,"306/8 Bowen Crescent Street, Melbourne, Vic 3004",2,2,1,0,https://i2.au.reastatic.net/{size}/d453d7dbcba8864d1c4b818cd6ba9017cf384e0213b773d9c61127fa102789f9/image.jpg,,,,760000,buy,Apartment
"48 Chomley Street, Prahran, Vic 3181",https://www.realestate.com.au/property-apartment-vic-prahran-140616307,"3/48 Chomley Street, Prahran, Vic 3181",2,1,1,0,https://i2.au.reastatic.net/{size}/4446f5d04171f1951fa1e238ae89b2e1cf577ca4400043047faf5e4d06f15f33/image.jpg,-37.8565497,145.005771,"(145.005771, -37.8565497)",585000,buy,Apartment
"253 Bridge Road, Richmond, Vic 3121",https://www.realestate.com.au/property-apartment-vic-richmond-139489843,"314/253 Bridge Road, Richmond, Vic 3121",1,1,1,0,https://i2.au.reastatic.net/{size}/91cb86fe3d96f9c095afba0d0b79d75f25d03b9defe6bf8e0db689521f78b13b/image.jpg,-37.8181854,144.9978333,"(144.9978333, -37.8181854)",407500,buy,Apartment
"105 CLARENDON STREET, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-140366323,"3408/105 CLARENDON STREET, Southbank, Vic 3006",2,2,0,0,https://i2.au.reastatic.net/{size}/a8106f324fd28ba6f74a35332260da74d95fcfa9e678bdfbd360db749f7e5b61/image.jpg,-37.8244678,144.9565472,"(144.9565472, -37.8244678)",550000,buy,Apartment
"11 Reid Street, Fitzroy North, Vic 3068",https://www.realestate.com.au/property-apartment-vic-fitzroy+north-140482815,"108/11 Reid Street, Fitzroy North, Vic 3068",2,2,1,0,https://i2.au.reastatic.net/{size}/e16200dc86fce2306dc2ca8c2f34bcaec6329c83d9ec7932e631a412c49fa871/image.jpg,-37.78513247,144.9780841,"(144.97808414285714, -37.78513247142857)",600000,buy,Apartment
"62 Simpson Street, East Melbourne, Vic 3002",https://www.realestate.com.au/property-apartment-vic-east+melbourne-140616063,"6/62 Simpson Street, East Melbourne, Vic 3002",2,1,1,0,https://i2.au.reastatic.net/{size}/f0a1d19fa71f1bf63a134b2624a60e07cb64812fd42be84761e049373002881a/image.jpg,-37.8111216,144.9886619,"(144.9886619, -37.8111216)",825000,buy,Apartment
"877 Punt Road, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-140616011,"13/877 Punt Road, South Yarra, Vic 3141",1,1,1,0,https://i2.au.reastatic.net/{size}/89c080e40d7630a6c86b542930d72530c3be1dfec4ca86791f378fc01ef2519a/image.jpg,-37.8367257,144.9868596,"(144.9868596, -37.8367257)",375000,buy,Apartment
"88 Park Street, South Melbourne, Vic 3205",https://www.realestate.com.au/property-apartment-vic-south+melbourne-139751675,"99/88 Park Street, South Melbourne, Vic 3205",2,2,1,0,https://i2.au.reastatic.net/{size}/6482062ce5e1a447190b94780392239f01accda6c0b556e72985f7f2008b5353/image.jpg,-37.8330331,144.9683027,"(144.96830269304957, -37.833033099999994)",599000,buy,Apartment
"70 Southbank Boulevard, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-140615847,"6704/70 Southbank Boulevard, Southbank, Vic 3006",2,2,1,0,https://i2.au.reastatic.net/{size}/6db7f2fcd9c6ac11bffa4c546bb2a5e3ef83f8c0e3ff98701748bd9024c5a4ef/image.jpg,-37.82317765,144.9639379,"(144.96393791047822, -37.82317765)",819000,buy,Apartment
