location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,rent_price,type,house_type
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435336839,"2110/228 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/be6851fe68ab848da64c94d5f730d2a1fc3a0f811e293e69529054744199c342/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",780 ,rent,Apartment
8 Franklin Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435336683,"1004/8 Franklin Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/e5fef7c94bb6699f23c5cd1c3d89c126e96eac7462e0ac755a5bbfc3d3994232/image.jpg,-37.8074444,144.9621938,"(144.9621938, -37.8074444)",520 ,rent,Apartment
394 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-432879638,"304/394 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ed873516c37b327a0f8c1b4577997cbab14915894ec5542b9ed21f0f5f86dd0f/image.jpg,-37.815886,144.9652908,"(144.9652908, -37.815886)",450 ,rent,Apartment
462 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435336299,"1704/462 Elizabeth Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/4a894ede69375e9e92d1cd9d4cea9b34b9f9c82915f50ce94910403370d9ec4a/image.jpg,-37.80783118,144.9604471,"(144.9604471, -37.807831182608695)",650 ,rent,Apartment
568 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435335907,"4109/568 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/20768768bcbe7f8425f9ed85fc51b301bf9713a56dc4e63ec554cfbb4dba381a/image.jpg,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",470 ,rent,Apartment
22-24 Jane Bell Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435335867,"909/22-24 Jane Bell Lane, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/f5af6f11ad569b07028f913e7038cab13b529268d0f1541f02b579e800beb148/image.jpg,-37.8104474,144.9658832,"(144.9658832, -37.8104474)",595 ,rent,Apartment
33 Mackenzie Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435335827,"2704/33 Mackenzie Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/52cc7c9d463216361b368e83072a16f2ef8a8b5ee55aa9aeff208af1d378bbbc/image.jpg,-37.807427,144.9671085,"(144.9671085, -37.807427)",680 ,rent,Apartment
555 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435335307,"820/555 Flinders Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/89822a0777bf74a7f125584a438c63c88d6d4569848ae9385f2fc97906838413/image.jpg,-37.82096345,144.9564841,"(144.9564841079254, -37.82096345)",400 ,rent,Apartment
616 Little Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435335203,"208/616 Little Collins Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/16f5d669e3a1590f8b871ad78fde21cf54f96245ecf5fc7ae0080ccb72276d69/image.jpg,-37.8177558,144.9542833,"(144.9542833, -37.8177558)",475 ,rent,Apartment
60 A‘beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-429819634,"1310/60 A‘beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/cc89063fc798e0007da35a6920c201c35c41485eeb0a37b616d62bd5ee97ddcf/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",610 ,rent,Apartment
20-26 Coromandel Place,https://www.realestate.com.au/property-apartment-vic-melbourne-412152447,"1402/20-26 Coromandel Place, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/ef86452eb418cfdc1ecd9276bc26e1dbecb9a69a70eee9859ae08ec0b650993b/image.jpg,-37.8130459,144.9692683,"(144.96926825901693, -37.813045900000006)",420 ,rent,Apartment
108 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-433627022,"117/108 Flinders Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/afa83dfefd10b1cf7fce69f2a2dbfc675a466984c4acf110893507717a76df58/image.jpg,-37.816044,144.9711772,"(144.9711771771287, -37.816044000000005)",450 ,rent,Apartment
250 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435334671,"1705/250 Elizabeth Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/eb7603c1dfa9bd2fb29a0505584565618c9334f3895708defa54b2c4b68a649d/image.jpg,-37.8124101,144.9625534,"(144.9625534, -37.8124101)",550 ,rent,Apartment
560 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435334579,"5411/560 Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/8581bdb342b79d59860c8d5a08afba4e90fed0097355aa95f0f847b5d566412f/image.jpg,-37.8137367,144.9556294,"(144.95562942986624, -37.8137367)",500 ,rent,Apartment
33 Latrobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435334099,"88/33 Latrobe Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/f1024c4e2ff5d6f74c62f501ffb6ab004e83646588676e916f0001782547668e/image.jpg,-37.79773975,144.8890894,"(144.8890894054884, -37.797739750000005)",750 ,rent,Apartment
618 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435334011,"3611/618 Lonsdale Street, Melbourne, Vic 3000",2,2,2,0,https://i2.au.reastatic.net/{size}/a7b91aac104fb5ff5e71f043cf6d46bd48daa6739c57676d826478217d30323c/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",680 ,rent,Apartment
299 Spring Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435333975,"323/299 Spring Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/5d31a5243a5adaa5d8551de2b08dbce637788aef1e37a429ce700e0b62e8cc0f/image.jpg,-37.8078125,144.9709617,"(144.9709617, -37.8078125)",725 ,rent,Apartment
68 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435333971,"2406/68 La Trobe Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/a3c544f4b39877f879304ef736c4c6283b5bbf67ee02e6a4d66e69925d6eb85a/image.jpg,-37.80836015,144.9665562,"(144.96655620173067, -37.80836015)",580 ,rent,Apartment
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435059851,"2303/228 La Trobe Street, Melbourne, Vic 3000",2,1,0,1,https://i2.au.reastatic.net/{size}/66964db679fe99363fc4d37ccfc9bacc1ec556dec0e7e0d27a75d241f8510eca/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",730 ,rent,Apartment
339 Swanston St,https://www.realestate.com.au/property-unit-vic-melbourne-433656431,"1010/339 Swanston St, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/1ea35d1a4600a7b7942d40d59cc71c086bdc52614aa0444b915145b910767ee3/image.jpg,-37.810266,144.963927,"(144.963927, -37.810266)",400 ,rent,Unit
160 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435430603,"305/160 Little Lonsdale Street, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/017dbec1f2cd8eb0818ca11f08e8feb61461dfc3623b621e5b4797c2a8b8d35d/image.jpg,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",345 ,rent,Apartment
339 Swanston Street,https://www.realestate.com.au/property-apartment-vic-melbourne-417976754,"202/339 Swanston Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/1abbd5a12063720374fb515cbb8c6213a4d40e4c5dde04656d8bb8a7e45c5ffb/image.jpg,-37.810266,144.963927,"(144.963927, -37.810266)",250 ,rent,Apartment
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435419039,"5807/228 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/d2ab52b530a5b3f287bf03b2475018425ecb226a6fea43635f40413020c9c129/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",650 ,rent,Apartment
"462 Elizabeth St, Melbourne VIC 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-431080242,"4802/462 Elizabeth St, Melbourne VIC 3000, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/1e5cba2fd24fe8378296b75704fbe610c03b7f28dfd6f8de515dc7c29dd5a725/image.jpg,-37.80783118,144.9604471,"(144.9604471, -37.807831182608695)",680 ,rent,Apartment
220 Spencer St,https://www.realestate.com.au/property-apartment-vic-melbourne-435392371,"4010/220 Spencer St, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/c63b2f500b6ba6cd1140be5186db55bbd88213738ddb3d411267aeb0a4fcde20/image.jpg,-37.815983,144.952991,"(144.952991, -37.815983)",500 ,rent,Apartment
220 Spencer St,https://www.realestate.com.au/property-apartment-vic-melbourne-435392099,"1213/220 Spencer St, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/9c7252044e9d7cb4a13d96e58e2faf00afb0c611f7a94a9fc220ad595d6a1e37/image.jpg,-37.815983,144.952991,"(144.952991, -37.815983)",580 ,rent,Apartment
220 Spencer St,https://www.realestate.com.au/property-apartment-vic-melbourne-435391919,"1910/220 Spencer St, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/684559c00d6b121fc17233cd620ccca50159ceabeae73e85dc31bdfd08cd39f7/image.jpg,-37.815983,144.952991,"(144.952991, -37.815983)",520 ,rent,Apartment
67 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-429529110,"117/67 Spencer Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/1e285b9bde9ce53ceb3f0c194170a73b0082938e3d04dba2523afa87c1d15173/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",550 ,rent,Apartment
27 Therry Street,https://www.realestate.com.au/property-apartment-vic-melbourne-419262838,"913/27 Therry Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/cdcc7cade2cf746226c32d730339f1ccb3c1f5ba26d55ca2f0e6820bab6e7b67/image.jpg,-37.8070736,144.9610151,"(144.9610150513281, -37.8070736)",520 ,rent,Apartment
23 MacKenzie Street,https://www.realestate.com.au/property-apartment-vic-melbourne-433307038,"3201/23 MacKenzie Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/3d6bf76d101c831886950c9684228fcce4afb3e0d57eb4ae4d43cf10d60c1627/image.jpg,-37.807427,144.9671085,"(144.9671085, -37.807427)",515 ,rent,Apartment
181 Franklin Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435381495,"5/181 Franklin Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/301c6c225e42792684e9ac2bdff9b8d0d6dc5fa130d942669c3d79ad98a16d76/image.jpg,-37.8092091,144.956591,"(144.956591, -37.8092091)",520 ,rent,Apartment
538 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435381343,"121/538 Little Lonsdale Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/e3a829e0009bd1c2b2630065f3191254ed626636188492851e60fd50703c40b2/image.jpg,-37.81357985,144.9532418,"(144.95324183501094, -37.813579849999996)",580 ,rent,Apartment
200 Spencer Street,https://www.realestate.com.au/property-unit-vic-melbourne-435381319,"1508/200 Spencer Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/99e2752f2c6fb487423a4876731c5d1bc0d092ff91f92258461da0524e2acf11/image.jpg,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",400 ,rent,Unit
31 Spring Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435381291,"1306/31 Spring Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/1417ea908f18b3b495abbdec8139315f6e18bad84053d512ba5796d3f0729824/image.jpg,-37.8145494,144.9741154,"(144.97411540000002, -37.814549400000004)",450 ,rent,Apartment
568 Collins St,https://www.realestate.com.au/property-apartment-vic-melbourne-435377059,"1401/568 Collins St, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ae3b6fbd49516dc080f8429eb0064d29f9597adaf12fca2add91f0caf896f632/image.jpg,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",500 ,rent,Apartment
639 Lonsdale St,https://www.realestate.com.au/property-apartment-vic-melbourne-435374987,"1313/639 Lonsdale St, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/26f8afa04d53e2ef0dda0e47ec798d6b9f4506a12ab307067d68fc04696ccc5d/image.jpg,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",600 ,rent,Apartment
157 A'Beckett St,https://www.realestate.com.au/property-apartment-vic-melbourne-435372207,"4801/157 A'Beckett St, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/b596c855962d85e7571a48d2f81c47dc908112f249af627462224893b69f4a0f/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",680 ,rent,Apartment
33 Rose Lane,https://www.realestate.com.au/property-unit-vic-melbourne-435370795,"4409/33 Rose Lane, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/00f178a19d9bcfb9d5a135d07c8b2648e7654cb04cdac7f044ee1c45066b55b2/image.jpg,-37.8151054,144.9538211,"(144.95382108260804, -37.8151054)",550 ,rent,Unit
8 Exploration Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435360623,"902/8 Exploration Lane, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/1fc97274ded1df50cf2c6636d17359b5be773981032e8bbfe0385d13a0d9e01a/image.jpg,-37.8092206,144.9684121,"(144.9684121, -37.8092206)",550 ,rent,Apartment
442 Elizabeth St,https://www.realestate.com.au/property-apartment-vic-melbourne-435350899,"1503/442 Elizabeth St, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/a67ffa059ae517aa2aafb1fafd9fc542fe3a0761434ab8bc675c6484f5857f9a/image.jpg,-37.80826779,144.9606474,"(144.96064737857145, -37.808267792857144)",450 ,rent,Apartment
462 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435343127,"2901/462 Elizabeth Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/9e3e2e6c9017cf7c1f1eaacdaffc87dede52c029b47047834ac40ef1c87702e7/image.jpg,-37.80783118,144.9604471,"(144.9604471, -37.807831182608695)",780 ,rent,Apartment
238 Flinders St,https://www.realestate.com.au/property-unit-vic-melbourne-435339475,"1211/238 Flinders St, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/81b46fd6aedae7cff2979022a97a3482e322b09e5bf1450a4726615abb7259ac/image.jpg,-37.8175372,144.9665144,"(144.9665144, -37.8175372)",270 ,rent,Unit
33 Rose Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435336623,"1101/33 Rose Lane, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/97a96f35466c8feb79ff61083d3dbd3ad2604a383545f2239e30268fd7e24384/image.jpg,-37.8151054,144.9538211,"(144.95382108260804, -37.8151054)",430 ,rent,Apartment
327  La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-428545766,"1101/327  La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/3fa4e06ffc5f0fb12a53c0ef738026e57d0644a88d0c76967bd7e0d408c2244c/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",520 ,rent,Apartment
22-24  JANE BELL LANE,https://www.realestate.com.au/property-apartment-vic-melbourne-435332495,"4007/22-24  JANE BELL LANE, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/e2bea4992bcec06fe6f61f333422492dd64f74ec00654a07c47488c519ba1722/image.jpg,-37.8104474,144.9658832,"(144.9658832, -37.8104474)",640 ,rent,Apartment
138 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435324711,"6102/138 Spencer Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/c5c632211e421049eaaca4a81f51b1e244d90c6cc876df8d1c38f9303a2df144/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",850 ,rent,Apartment
639 Little Lonsdale Street,https://www.realestate.com.au/property-unit-vic-melbourne-435311187,"1710/639 Little Lonsdale Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/d0073ee4cb180b68a763456f2558fd315d4eb207779693927f07b540a3e8f355/image.jpg,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",695 ,rent,Unit
153 La Trobe Street,https://www.realestate.com.au/property-townhouse-vic-melbourne-435310771,"16/153 La Trobe Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/5650c9ab77b48a39f72a288be71dfd6b9645c25382f45cfd74ab8a3d4d960cf3/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",620 ,rent,Townhouse
442 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435306723,"442 Elizabeth Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/3bd925a5308964be7368628649183c7a0ce4644129125fdcd4136921ac55a9eb/image.jpg,-37.80826779,144.9606474,"(144.96064737857145, -37.808267792857144)",500 ,rent,Apartment
181 Exhibition Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435306679,"708/181 Exhibition Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/e7b6558f2a394dff3e5a6ea680552cb5970eb9c71deca109d6a62f90e6d7ebef/image.jpg,-37.8081508,144.9686945,"(144.9686945, -37.8081508)",630 ,rent,Apartment
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435300999,"4416/228 La Trobe Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/04af4c6b274949606dd5ed557ebb6e8312cb54c5c784bc330b417dc162396531/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",800 ,rent,Apartment
8 Exploration Lane,https://www.realestate.com.au/property-unit-vic-melbourne-435300567,"301/8 Exploration Lane, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/efc0a91f730e70471a3d32204378b20cb4c0130e17cc935190fbc665ef6d3860/image.jpg,-37.8092206,144.9684121,"(144.9684121, -37.8092206)",320 ,rent,Unit
39 Lonsdale St,https://www.realestate.com.au/property-unit-vic-melbourne-435299047,"907/39 Lonsdale St, Melbourne, Vic 3000",3,1,0,0,https://i2.au.reastatic.net/{size}/7a2e49807920d8692c002483db41400ba74f800ca06273e39b3eafc697b292fc/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",470 ,rent,Unit
288 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-426688718,"2603/288 Spencer Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/e0a63353a4ec56917a5ec800b2b662dce160ba33c538df7cbf1268e68f0c00f6/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",420 ,rent,Apartment
108 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435293839,"101/108 Flinders Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/fc5c08a68ddf1a03aba9badab4328d7b7d0270fa1519fbb6e611abb54e31c505/image.jpg,-37.816044,144.9711772,"(144.9711771771287, -37.816044000000005)",580 ,rent,Apartment
151 Berkeley Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435291687,"104/151 Berkeley Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/ccdf537959b176e78b6f1ea52d8af4a7844b2e1cefd0b03254f5b1d6a9f06787/image.jpg,-37.8024399,144.9587099,"(144.9587099, -37.8024399)",500 ,rent,Apartment
250 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435279839,"250 Spencer Street, Melbourne, Vic 3000",1,1,0,1,https://i2.au.reastatic.net/{size}/b8bd37a908e8a4075af1b237922d56db5c06523ebcc7eb96681e66739c845f8b/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",520 ,rent,Apartment
139 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435278815,"238/139 Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/c40173edf836100300a2ea09b33b8ebb8749d883e001277c9ed282ef4b9f200a/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",380 ,rent,Apartment
157 A'beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435257147,"2309/157 A'beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/257118c16edbca3e32994c00a065c7e231ea0cb4a8dce4ba2e6fe92f365e0917/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",515 ,rent,Apartment
5 Sutherland Street,https://www.realestate.com.au/property-apartment-vic-melbourne-432377422,"1501/5 Sutherland Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/648e0d4488a1b4acd7db333fb8713183a1edb94e4f46d0d0bbe556ee77c2b7c2/image.jpg,-37.76269875,144.9546044,"(144.95460443333334, -37.76269875)",550 ,rent,Apartment
81 A'Beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434838843,"4307/81 A'Beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/30f793316a2d60e63b093bdf062a875c66d54c7a4af2780686c7e925ef39a3fe/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",570 ,rent,Apartment
568 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434135055,"4607/568 Collins Street, Melbourne, Vic 3000",1,2,0,0,https://i2.au.reastatic.net/{size}/47dadcf5e7f8df98175b664376974fde6d90456a4742ba5529b7ba70c87dedf8/image.jpg,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",420 ,rent,Apartment
299  King Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435132443,"801/299  King Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/7389ce56c242e8252232f1c41b60c5c8d7e8215a7a9370e65dac8c53a9e08482/image.jpg,-37.812495,144.9540153,"(144.9540153, -37.812495)",550 ,rent,Apartment
29-31 Market Street,https://www.realestate.com.au/property-unit-vic-melbourne-433227882,"812/29-31 Market Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/8547bddf04819de572b39fd808f1b0ccdff00f58341fba2ea41c5f90e29171a0/image.jpg,-37.81867695,144.9604348,"(144.96043483049834, -37.81867695)",530 ,rent,Unit
551 Swanston Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434106603,"2612/551 Swanston Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/e5873b7afa7297a460dd478b1909db07da95857b48df7165a8f3cc4a270be607/image.jpg,-37.8056618,144.9623544,"(144.96235440646913, -37.805661799999996)",600 ,rent,Apartment
296 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-425221774,"1802/296 Little Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/01a151e6e4ea9f564c2ca8f3c4acf0f69bd7c876056ddcced778f1a12e6785ca/image.jpg,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",520 ,rent,Apartment
38 Rose Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-431414342,"4401/38 Rose Lane, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/f9a8ce22cc7011893da26f7204f14a373a17d477c0f7bc42b329164a05e4c5a6/image.jpg,-37.8148091,144.9539615,"(144.9539615, -37.8148091)",650 ,rent,Apartment
8 Bligh Place,https://www.realestate.com.au/property-apartment-vic-melbourne-429072318,"102/8 Bligh Place, Melbourne, Vic 3000",2,2,2,0,https://i2.au.reastatic.net/{size}/53aaefc498121f5ee0f1db7bfdcf24399ab1900c6cbf53582820eb8837777aac/image.jpg,-37.817366,144.9637961,"(144.9637961, -37.817366)",890 ,rent,Apartment
38 Rose Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435086747,"4409/38 Rose Lane, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/44d7686eadaf8c38068eae58666dd18c35b3b8c31a4087b9751dbcbb4513d3cd/image.jpg,-37.8148091,144.9539615,"(144.9539615, -37.8148091)",750 ,rent,Apartment
206 A'Beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-430764598,"3/206 A'Beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/7d70a662231cb0a27ccb8ce121b9f7aa21aff6d91e27f7c09f81411500420ba4/image.jpg,-37.81009385,144.9571093,"(144.95710932885146, -37.81009385)",545 ,rent,Apartment
268 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434670851,"1119/268 Flinders Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/dd01ec0915d12d723234399b0948ab42fb6022d2511043104f49f44a1d6ce128/image.jpg,-37.8190295,144.9618007,"(144.9618007, -37.8190295)",300 ,rent,Apartment
99 Franklin Street,https://www.realestate.com.au/property-serviced+apartment-vic-melbourne-434402307,"99 Franklin Street, Melbourne, Vic 3000",0,1,0,1,https://i2.au.reastatic.net/{size}/81faedf102dc7e6c67d27868bc3ee5798d7b0bbff5a56898c204c26fec4666fd/image.jpg,-37.8092091,144.956591,"(144.956591, -37.8092091)",610 ,rent,Serviced Apartment
27 Lt Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435043387,"2806/27 Lt Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ab62626b9b2474ff6d44847e419990b68d46b9b8d73236e9f17742e03a3ddb29/image.jpg,-37.8173936,144.9560988,"(144.9560988, -37.8173936)",450 ,rent,Apartment
568 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-429339858,"1403/568 Collins Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/7bd78e71b63f7a0bbf119d1b0ce9c569f31c83c844cd8d39541c7e2b2db191b7/image.jpg,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",490 ,rent,Apartment
101 Leveson Street,https://www.realestate.com.au/property-apartment-vic-melbourne-431934202,"16/101 Leveson Street, Melbourne, Vic 3000",3,2,2,0,https://i2.au.reastatic.net/{size}/c9c9a672cd15d5c31b06c46c426ea35aca79de21851719e1641cbfb86fe99ee4/image.jpg,-37.8011917,144.9515424,"(144.9515424, -37.8011917)",770 ,rent,Apartment
22-24 Jane Bell Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-433524670,"4104/22-24 Jane Bell Lane, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/6f93cb8c51db325ab373d267edec7feafe2a2743cbcc9cd686c86d33af31df94/image.jpg,-37.8104474,144.9658832,"(144.9658832, -37.8104474)",600 ,rent,Apartment
