location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,rent_price,type,house_type
"16 Princes Street, Abbotsford, Vic 3067",https://www.realestate.com.au/property-townhouse-vic-abbotsford-420300010,"5/16 Princes Street, Abbotsford, Vic 3067",3,1,2,0,https://i2.au.reastatic.net/{size}/3e47741e51ceac9ddf5fc529fc62f884225d44e9a350f2a21e132d03773495cd/image.jpg,-37.8095167,144.99974,"(144.99974, -37.8095167)",850 ,rent,Townhouse
"139 Chetwynd Street, North Melbourne, Vic 3051",https://www.realestate.com.au/property-apartment-vic-north+melbourne-435359635,"216/139 Chetwynd Street, North Melbourne, Vic 3051",1,1,1,0,https://i2.au.reastatic.net/{size}/46044e6a6208dc972573c94abf9ca5950e397482d424fe557e71580b6f36dadf/image.jpg,-37.803426,144.9524874,"(144.9524874, -37.803426)",380 ,rent,Apartment
"6 Lyell Street, South Melbourne, Vic 3205",https://www.realestate.com.au/property-house-vic-south+melbourne-435270211,"6 Lyell Street, South Melbourne, Vic 3205",3,1,0,0,https://i2.au.reastatic.net/{size}/a6c724e3a1ccb4465af6f90870323119cddc276095882da9c6331cf89b3e78a4/image.jpg,-37.83639645,144.9514924,"(144.95149240886124, -37.83639645)",900 ,rent,House
"1 Dyer Street, Richmond, Vic 3121",https://www.realestate.com.au/property-apartment-vic-richmond-422077846,"206/1 Dyer Street, Richmond, Vic 3121",2,1,1,0,https://i2.au.reastatic.net/{size}/e999f7534d157837d3d3ebf268ea159738b3f65dcd3470bf90b93fed6fc9dfa4/image.jpg,-37.8174134,145.0031825,"(145.0031825, -37.8174134)",575 ,rent,Apartment
"61 Haig Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-428091438,"2402/61 Haig Street, Southbank, Vic 3006",1,1,0,0,https://i2.au.reastatic.net/{size}/32204681adddca52f690a1403b32ae2924639d4afc80f7c658ad5be5aced4fbc/image.jpg,-37.8262491,144.9581044,"(144.9581044, -37.8262491)",390 ,rent,Apartment
"38 Chambers Street, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-428048666,"9/38 Chambers Street, South Yarra, Vic 3141",2,2,1,0,https://i2.au.reastatic.net/{size}/765291c476e0a54374d8646c83f033d178542fe53908f6dd02a59aaacd5b5704/image.jpg,-37.8399602,144.9943212,"(144.9943212, -37.8399602)",700 ,rent,Apartment
"202 Barkly Street, Fitzroy North, Vic 3068",https://www.realestate.com.au/property-other-vic-fitzroy+north-435270007,"202 Barkly Street, Fitzroy North, Vic 3068",3,1,2,0,https://i2.au.reastatic.net/{size}/45660f5e25b8e00df05cebe1144d4613bc4097bddedf0889d04233de625726c1/image.jpg,-37.7791268,144.986926,"(144.986926, -37.7791268)",950 ,rent,Other
"160 Victoria Street, Carlton, Vic 3053",https://www.realestate.com.au/property-apartment-vic-carlton-432592994,"1016/160 Victoria Street, Carlton, Vic 3053",2,2,0,1,https://i2.au.reastatic.net/{size}/1ff478cef1cc13ae58bae6f451f1f5d99d25b3e558dd55d60b8fe34442dc5ad4/image.jpg,-37.8070938,144.9674392,"(144.9674392, -37.8070938)",695 ,rent,Apartment
"34 Wilson Street, South Yarra, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-435359083,"204/34 Wilson Street, South Yarra, South Yarra, Vic 3141",2,2,1,0,https://i2.au.reastatic.net/{size}/e7cd5929d90d8972d8a7ddb227adcbc420bc4a37e317199db2686b4fca8c0962/image.jpg,-37.8437501,144.9953546,"(144.9953546, -37.8437501)",500 ,rent,Apartment
"32 Fitzroy Street, St Kilda, Vic 3182",https://www.realestate.com.au/property-apartment-vic-st+kilda-435358975,"17/32 Fitzroy Street, St Kilda, Vic 3182",1,1,0,0,https://i2.au.reastatic.net/{size}/c6287797a4f29998db6d52036a10a48bbad8d015e99b5c2bf7f9d1061477752c/image.jpg,-37.8606327,144.9754301,"(144.9754301, -37.8606327)",375 ,rent,Apartment
